,hotel_id,comment_num,useful_num,pic_num,date,rating,comment
13,441351, 2, 1, 2,2018-10-07,3.3,这个酒店胜在性价比相当不错，距离虹桥路地铁站步行十分钟之内，国庆期间入住含单早不到三百一个间夜，房间也不小，比好很多快捷酒店性价比要高很多。 不过毕竟这个价格嘛，槽点也不少，酒店设施比价老旧，从装修到房间设施的新旧程度都透着九十年代的感觉，床边没有电源插座，夜里想把手机放到能够的到的地方充电是不可能的。空调只能选择三档风速大小，不能选择温度和模式。面对高架桥的房间会很吵，就算关上窗户依然有声音。最大的槽点是房间内赠送的每天两瓶矿泉水，居然有一瓶是半瓶的！应该是之前的住客留下来的，客房服务员看上面免费赠送的纸牌子还在就没注意更换，感觉真的超级不好。。。。
14,441351, 81, 5, 20,2019-12-24,4.8,给朋友订的，入住满意～
15,441351, 7,,,2019-04-16,5.0,不错的酒店，交通便利，干净，有早餐，已多次入住
16,441351, 1,,,2018-07-25,4.8,入住体验非常好。在上海这种地方能住到这样物美价廉的星级酒店真是不容易，卫生交通各方面都很满意。服务也不错！可以在现场付费和买早餐。现场付费开发票方便。如果下次还去附近，还会选择这家
17,441351, 21, 1, 1,2018-03-28,1.8,房间没有打扫干净，就让我入住了，而且房间里一股子骚味儿。不知道是不是由于卫生间没有打扫干净的缘故，垃圾箱是放在桌子上面，他们家的无线是时有时无信号，特别不稳定，建议如果是商务出差，千万不要住在他们家
18,441351, 3, 1,,2018-07-13,1.0,什么破酒店 早上6点就开始装修 入住之前也不提醒我们，差评
19,441351, 18, 3,,2018-08-04,5.0,非常好的酒店，交通便利，房间舒适，已经多次入住了
20,441351, 5,,,2018-03-25,4.0,还可以，因为是出差，离办事的地方近，所以选择入住，不过交通还是很方便的
21,441351, 55, 4,,2018-07-25,4.0,酒店服务很好，前台很热情礼貌，能够感受到对客人的尊重。房间内设施比较齐全，用起来很舒心，推荐入住！周边交通环境可以，出行方便！
22,441351, 11,,,2019-03-22,5.0,很愉快的入住
23,441351, 4,, 11,2018-08-27,5.0,入住很好 下场还会选择
24,441351, 63, 7, 40,2018-04-13,5.0,商务入住 房间小了点 但是很干净卫生
25,441351, 20, 5,,2019-07-17,4.0,再次入住，去机场方便
26,441351, 81, 5, 20,2019-06-18,4.3,朋友入住，感觉不错！
27,441351, 10,,,2017-11-15,4.0,第一次入住，设施比较旧
28,441351, 3, 2,,2017-08-27,4.0,酒店卫生挺好，我多次入住。价格公道，设施也可以，够三星级标准。就是室内、外的地毯闻着都有味了，该清理了。
29,441351, 2,,,2017-06-23,5.0,房间舒适，值得再次入住
30,441351, 4, 1, 11,2017-07-21,5.0,我住的房间还不错。入住时告知想住看里面就可以了。酒店的湘菜很正宗！味道不错
31,441351, 56, 3, 6,2018-04-30,5.0,多次入住，价格适中
32,441351,,,,2019-12-04,,不错，前台刘美女热情好客，期待下次入住！
33,441351,,,,2019-06-25,,毕竟是带星的，该有的服务一点也不差。服务好，舒适便捷，入住快，早餐好吃。还会再来。
34,441351,,,,2018-03-16,,一个人出来旅行，这是家三星级宾馆，门囗中文是三湘大厦感觉像是写字楼名称，英文写的是湖南宾馆。预订的是宾馆普通标间，但因为飞机晚点太严重，到了凌晨才进了宾馆大门。总台服务员听到大门声音立刻站起来，反应挺快呵呵。 因来得太晚了点，结果没想到的是这次人品爆好，总台小姑娘给直接免费升级入住了单间。进了房间，面积不大但很新，装修是我喜欢的风格。床挺宽，一个人呈大字型睡都足够。上网要凭身份证登记入网，有点麻烦，但服务员说是公安要求也只能给予充分理解了。 周边出行方便，交通便捷，轻轨3、4号和地铁10号线虹桥路站都很近，公交车也很多。去机场、火车站都方便，去徐家汇走路也不是很远，公交3站路，去各个景点地铁全搞定。早餐还可以，在这吃了一顿晚饭，餐饮主打湘菜，服务员也还算比较热情。出门看到大厅墙上贴的牌子，是湖南培训基地，国家定点出差培训地，还是什么上海市文明单位，全国什么文明单位忘了。 住了二天，楼层上的阿姨也挺热情，出门正赶上准备作卫生，主动问好，我说不用做卫生，她就问有什么东西需要添加的，她给我放好，这个阿姨印象比较深，因为从头到尾都是笑咪咪的，说话也柔。总体这次入住比较愉快。
35,441351,,,,2018-03-29,,#服务##卫生##设施#比网上的图片好很多，并且卫生搞得特干净，服务从上到下都很好，如果下次还在这个方向出差，我一定还是选择这个酒店入住
36,441351,,,,2018-11-13,,多次入住，干净整洁，早餐丰富！
37,441351,,,,2018-02-06,,临时入住，很方便，安静，卫生。
38,441351,,,,2018-02-06,,临时入住，很方便，安静，卫生。
39,441351,,,,2018-01-12,,性价比高，现入住还有两瓶农夫山泉赠送
40,441351,,,,2017-11-22,,多次入住 出差离公司近 位置方便
